_id,latest_count_id,latest_count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,count_duration,total_vehicle,total_bike,total_heavy_pct,total_pedestrian,am_peak_start,am_peak_vehicle,am_peak_bike,am_peak_heavy_pct,pm_peak_start,pm_peak_vehicle,pm_peak_bike,pm_peak_heavy_pct,n_appr_vehicle,n_appr_bike,n_appr_heavy_pct,e_appr_vehicle,e_appr_bike,e_appr_heavy_pct,s_appr_vehicle,s_appr_bike,s_appr_heavy_pct,w_appr_vehicle,w_appr_bike,w_appr_heavy_pct
1,115588,2026-02-19,Old Finch Ave / Morningview Trl / Valley Centre Dr,-79.2019482912495,43.8220709618205,2,13441815,,14,4096,1,0.036,84,2026-02-19T08:00:00,464,1,0.032,2026-02-19T16:30:00,635,0,0.019,169,0,0.012,1419,0,0.007,475,1,0.086,2033,0,0.046
2,115585,2026-02-19,Farmbrook Rd / Porchester Dr,-79.2274271596055,43.7436314676491,2,13450939,,14,1537,1,0.021,246,2026-02-19T08:15:00,141,0,0.043,2026-02-19T17:00:00,177,0,0,277,0,0.025,589,1,0.017,0,0,0,671,0,0.024
3,115587,2026-02-19,Porchester Dr / Nelson St,-79.2255252321819,43.7477467681819,2,13450320,,14,1138,0,0.031,104,2026-02-19T08:30:00,109,0,0.037,2026-02-19T15:00:00,144,0,0.063,0,0,0,512,0,0.033,314,0,0.013,312,0,0.045
4,115586,2026-02-19,Bakerton Dr / Porchester Dr,-79.2247740117095,43.7459425246302,2,13450575,,14,703,0,0.024,77,2026-02-19T08:00:00,60,0,0.033,2026-02-19T17:00:00,95,0,0,307,0,0.036,61,0,0,335,0,0.018,0,0,0
5,115559,2026-02-19,O'Connor Dr / Wakunda Pl,-79.3049393728993,43.715986751828,2,13455374,,14,12022,4,0.048,708,2026-02-19T08:30:00,1006,0,0.055,2026-02-19T17:00:00,1137,0,0.028,5813,1,0.051,494,0,0.038,5715,3,0.045,0,0,0
6,115564,2026-02-19,Perivale Cres / Dignam Crt,-79.2429253468101,43.7534190622187,2,13449494,,14,421,3,0.01,76,2026-02-19T08:00:00,44,0,0,2026-02-19T15:30:00,55,2,0.018,60,1,0,151,1,0.013,0,0,0,210,1,0.01
7,115562,2026-02-19,Amberjack Blvd / Bellamy Rd N / Lynnbrook Dr,-79.2412345788558,43.7726234930529,2,13446726,,14,15558,2,0.024,211,2026-02-19T08:00:00,1454,0,0.03,2026-02-19T16:45:00,1656,0,0.012,7096,0,0.026,412,0,0.012,7684,2,0.023,366,0,0.022
8,115557,2026-02-19,Kennedy Rd / Transway Cres,-79.2675584113727,43.7312196892359,2,13453021,,14,18956,11,0.036,2598,2026-02-19T08:00:00,1687,1,0.046,2026-02-19T17:00:00,1748,0,0.014,9711,4,0.037,2052,0,0.017,6934,6,0.041,259,1,0.019
9,115561,2026-02-19,Willowdale Ave / Bishop Ave / Finch Corridor Trl,-79.4078717568792,43.7834405542361,2,13445655,1640,14,18088,29,0.016,381,2026-02-19T08:15:00,1934,5,0.017,2026-02-19T16:45:00,1955,4,0.006,8498,8,0.017,1614,14,0.014,4998,4,0.019,2978,3,0.01
10,115590,2026-02-19,York Mills Rd / Valentine Dr / Silverdale Cres,-79.3413608727634,43.7570535951887,2,13449192,978,14,27326,4,0.038,286,2026-02-19T08:15:00,2380,1,0.037,2026-02-19T16:00:00,2618,1,0.026,1210,1,0.021,10734,0,0.043,2247,2,0.028,13135,1,0.037
