episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy,gate_fraction
0,7,person_obj_200ep,-1.044909481273952,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.017592592592592594
1,8,person_obj_200ep,-1.2042732767843984,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.017592592592592594
2,9,person_obj_200ep,-1.0051632319701604,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.020833333333333332
3,10,person_obj_200ep,-1.1710704532540352,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.022222222222222223
4,11,person_obj_200ep,-1.13730187491799,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.019444444444444445
5,12,person_obj_200ep,-1.1497262268484056,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.016203703703703703
6,13,person_obj_200ep,-1.0368527438392219,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.01712962962962963
7,14,person_obj_200ep,-1.1245200027689861,180,-0.03153127804398537,501.435546875,0.14016476273536682,0.020370370370370372
8,15,person_obj_200ep,-1.2071699250628884,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.027314814814814816
9,16,person_obj_200ep,-1.0673999567402743,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.021296296296296296
10,17,person_obj_200ep,-1.0282498350227196,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.027777777777777776
11,18,person_obj_200ep,-1.0849440480281207,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.022222222222222223
12,19,person_obj_200ep,-1.0842225052286911,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.02175925925925926
13,20,person_obj_200ep,-1.028801341601114,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.020833333333333332
14,21,person_obj_200ep,-1.060008767042296,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.02962962962962963
15,22,person_obj_200ep,-1.136095164532269,180,-0.03537764400243759,504.9566650390625,0.2089442014694214,0.01990740740740741
16,23,person_obj_200ep,-1.187822680018836,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.05740740740740741
17,24,person_obj_200ep,-1.0979612836204484,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.05
18,25,person_obj_200ep,-1.0200069488558898,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.044444444444444446
19,26,person_obj_200ep,-1.0832500814024872,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.05462962962962963
20,27,person_obj_200ep,-1.1564070305481546,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.052314814814814814
21,28,person_obj_200ep,-1.1196307800562186,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.052314814814814814
22,29,person_obj_200ep,-1.117346442246588,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.05925925925925926
23,30,person_obj_200ep,-1.2374493390948798,180,-0.08316251635551453,503.91717529296875,0.26538944244384766,0.06388888888888888
24,31,person_obj_200ep,-1.0150590648933773,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.09166666666666666
25,32,person_obj_200ep,-1.0103426367878348,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.08888888888888889
26,33,person_obj_200ep,-1.014938665046645,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.0962962962962963
27,34,person_obj_200ep,-0.9908127917549401,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.0837962962962963
28,35,person_obj_200ep,-1.0261022990419588,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.08657407407407407
29,36,person_obj_200ep,-0.9907725887003443,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.07962962962962963
30,37,person_obj_200ep,-1.0032669027692547,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.08564814814814815
31,38,person_obj_200ep,-1.0618862271746705,180,0.016812918707728386,438.46258544921875,0.38991403579711914,0.09074074074074075
32,39,person_obj_200ep,-1.035860916524371,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.0837962962962963
33,40,person_obj_200ep,-1.052034534858729,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.10092592592592593
34,41,person_obj_200ep,-0.914109660870464,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.08333333333333333
35,42,person_obj_200ep,-1.0087761123773986,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.08842592592592592
36,43,person_obj_200ep,-1.1624550629304553,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.09583333333333334
37,44,person_obj_200ep,-1.0819022689050584,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.09490740740740741
38,45,person_obj_200ep,-1.0414448855764356,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.10046296296296296
39,46,person_obj_200ep,-1.0384442080248828,180,-0.15090398490428925,443.74676513671875,0.3523945212364197,0.10092592592592593
40,47,person_obj_200ep,-0.9431620833278592,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.1175925925925926
41,48,person_obj_200ep,-0.9761065224558779,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.11574074074074074
42,49,person_obj_200ep,-0.9648944201177525,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.12638888888888888
43,50,person_obj_200ep,-0.8685202572555579,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.12314814814814815
44,51,person_obj_200ep,-0.9945165529337937,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.1111111111111111
45,52,person_obj_200ep,-0.9595157059741518,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.10972222222222222
46,53,person_obj_200ep,-0.9363985245607759,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.13055555555555556
47,54,person_obj_200ep,-1.1079712039499285,180,-0.013384493067860603,423.9063415527344,0.41403552889823914,0.15
48,55,person_obj_200ep,-0.8747493738128524,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.1087962962962963
49,56,person_obj_200ep,-0.8254696751005792,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.10740740740740741
50,57,person_obj_200ep,-0.9828583546259323,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.13194444444444445
51,58,person_obj_200ep,-0.9139782531105863,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.12083333333333333
52,59,person_obj_200ep,-0.8162442105585976,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.11898148148148148
53,60,person_obj_200ep,-0.861075714281182,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.1175925925925926
54,61,person_obj_200ep,-0.8570314330820793,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.1125
55,62,person_obj_200ep,-0.8788242590419352,180,0.05822746455669403,390.08331298828125,0.46093326807022095,0.11481481481481481
56,63,person_obj_200ep,-0.9478110162033956,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.11203703703703703
57,64,person_obj_200ep,-0.9017991054704468,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.1175925925925926
58,65,person_obj_200ep,-0.8866086776134325,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.12361111111111112
59,66,person_obj_200ep,-0.8885937408687508,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.11342592592592593
60,67,person_obj_200ep,-0.9800730928041558,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.12546296296296297
61,68,person_obj_200ep,-0.8718299767514559,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.11805555555555555
62,69,person_obj_200ep,-0.9678959904603117,180,0.023793894797563553,380.74310302734375,0.4661756157875061,0.13287037037037036
