episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,17,toronto_demand,-1.594335711175282,24,-0.008415835909545422,279.52496337890625,0.6921153664588928
1,18,toronto_demand,-1.596649601432948,24,-0.00848312210291624,270.5162353515625,0.6922841668128967
2,19,toronto_demand,-1.5988699537770408,24,-0.007732689380645752,254.833251953125,0.6927444338798523
3,20,toronto_demand,-1.5978099252599183,24,-0.006825719960033894,235.16604614257812,0.6928182244300842
4,21,toronto_demand,-1.5865551353569158,24,-0.0070407637394964695,206.1087188720703,0.6927945017814636
5,22,toronto_demand,-1.59028426076865,24,-0.007288580760359764,179.00743103027344,0.6927421689033508
6,23,toronto_demand,-1.5943654661057993,24,-0.0075587802566587925,149.4790802001953,0.6925903558731079
7,24,toronto_demand,-1.6032191001870963,24,-0.007160707376897335,130.70245361328125,0.6923933625221252
8,25,toronto_demand,-1.5906389650201866,24,-0.007822178304195404,127.37212371826172,0.6920918226242065
9,26,toronto_demand,-1.5912860700203841,24,-0.008175994269549847,155.60910034179688,0.6912718415260315
10,27,toronto_demand,-1.5981088212141794,24,-0.00733601488173008,182.120849609375,0.6901553869247437
11,28,toronto_demand,-1.5949391353309184,24,-0.006926847621798515,174.28500366210938,0.6895222067832947
12,29,toronto_demand,-1.6007209522524724,24,-0.007892075926065445,162.29852294921875,0.689924418926239
13,30,toronto_demand,-1.5990446900726365,24,-0.007175053935497999,145.0904998779297,0.6906538605690002
14,31,toronto_demand,-1.6004438006422832,24,-0.007068243343383074,132.46156311035156,0.690611720085144
15,32,toronto_demand,-1.5910273308786296,24,-0.008021561428904533,110.32841491699219,0.6908979415893555
16,33,toronto_demand,-1.6067671885288586,24,-0.007022161036729813,111.31449127197266,0.6914064884185791
17,34,toronto_demand,-1.5951645652487325,24,-0.007023937068879604,97.7894287109375,0.6916801333427429
18,35,toronto_demand,-1.5918095794857632,24,-0.0072115021757781506,82.58751678466797,0.691840648651123
19,36,toronto_demand,-1.5928004031911618,24,-0.0072890594601631165,76.96145629882812,0.6919066905975342
