episode,mean_global_reward,steps,gate_fraction,scenario_id
0,-0.7893,180,0.327,am_peak
1,-1.0354,180,0.311,pm_peak
2,-0.9428,180,0.309,demand_surge
3,-0.9221,180,0.312,midday_multimodal
4,-0.9044,180,0.343,am_peak
5,-1.1492,180,0.303,pm_peak
6,-0.8822,180,0.32,
7,-1.1367,180,0.285,
8,-0.7603,180,0.295,am_peak
9,-0.938,180,0.318,pm_peak
10,-1.0407,180,0.312,demand_surge
11,-1.0277,180,0.3,midday_multimodal
12,-1.2114,180,0.319,am_peak
13,-0.8958,180,0.295,pm_peak
14,-0.9147,180,0.297,
15,-0.9523,180,0.312,
16,-0.7095,180,0.307,am_peak
17,-0.9853,180,0.319,pm_peak
18,-0.8727,180,0.304,demand_surge
19,-1.0768,180,0.317,midday_multimodal
20,-0.6852,180,0.286,am_peak
21,-1.0728,180,0.326,pm_peak
22,-1.0233,180,0.308,
23,-1.0327,180,0.327,
24,-0.6964,180,0.289,am_peak
25,-0.9047,180,0.308,pm_peak
26,-0.8962,180,0.31,demand_surge
27,-0.8594,180,0.313,midday_multimodal
28,-0.7433,180,0.304,am_peak
29,-0.9736,180,0.333,pm_peak
30,-0.8264,180,0.31,
31,-0.8489,180,0.311,
32,-0.7521,180,0.287,am_peak
32,-0.7521,180,0.287,am_peak
33,-0.9862,180,0.3,pm_peak
33,-0.9862,180,0.3,pm_peak
34,-0.9165,180,0.298,demand_surge
34,-0.9165,180,0.298,demand_surge
35,-0.9755,180,0.286,midday_multimodal
35,-0.9755,180,0.286,midday_multimodal
36,-0.7417,180,0.277,am_peak
36,-0.7417,180,0.277,am_peak
37,-0.9176,180,0.301,pm_peak
37,-0.9176,180,0.301,pm_peak
38,-0.8796,180,0.308,
39,-0.902,180,0.321,
40,-0.7172,180,0.278,am_peak
41,-0.9114,180,0.282,pm_peak
42,-0.803,180,0.27,demand_surge
43,-0.905,180,0.29,midday_multimodal
44,-0.7999,180,0.278,am_peak
45,-0.8627,180,0.29,pm_peak
46,-0.9777,180,0.287,
47,-0.9604,180,0.276,
48,-0.7151,180,0.254,am_peak
49,-1.226,180,0.264,pm_peak
50,-1.171,180,0.269,demand_surge
51,-1.0269,180,0.276,midday_multimodal
52,-0.8202,180,0.27,am_peak
53,-0.8983,180,0.293,pm_peak
54,-0.8766,180,0.27,
55,-0.9469,180,0.275,
56,-0.8637,180,0.245,am_peak
57,-0.9876,180,0.281,pm_peak
58,-0.9519,180,0.259,demand_surge
59,-0.9681,180,0.269,midday_multimodal
60,-0.685,180,0.251,am_peak
61,-0.8734,180,0.275,pm_peak
62,-0.8472,180,0.26,
63,-0.9895,180,0.279,
64,-0.7247,180,0.27,am_peak
65,-0.9631,180,0.28,pm_peak
66,-0.832,180,0.273,demand_surge
67,-0.8767,180,0.29,midday_multimodal
68,-0.6734,180,0.251,am_peak
69,-0.9525,180,0.267,pm_peak
70,-0.9279,180,0.276,
71,-1.1105,180,0.29,
72,-0.6926,180,0.264,am_peak
73,-0.962,180,0.287,pm_peak
74,-0.9013,180,0.272,demand_surge
75,-1.0584,180,0.298,midday_multimodal
76,-0.6938,180,0.258,am_peak
77,-0.9846,180,0.28,pm_peak
78,-0.9501,180,0.271,
79,-1.1196,180,0.306,
80,-0.6949,180,0.257,am_peak
81,-0.8915,180,0.286,pm_peak
82,-0.7861,180,0.275,demand_surge
83,-1.0273,180,0.3,midday_multimodal
84,-0.7185,180,0.271,am_peak
85,-0.9805,180,0.297,pm_peak
86,-1.0199,180,0.269,
87,-1.0251,180,0.282,
88,-0.6457,180,0.247,am_peak
89,-1.149,180,0.291,pm_peak
90,-0.8396,180,0.271,demand_surge
