scenario,seed,sim_time_s,n_agents,n_override,gate_fraction
am_peak,1000,5.0,12,0,0.0
am_peak,1000,10.0,12,2,0.16666666666666666
am_peak,1000,15.0,12,1,0.08333333333333333
am_peak,1000,20.0,12,2,0.16666666666666666
am_peak,1000,25.0,12,0,0.0
am_peak,1000,30.0,12,5,0.4166666666666667
am_peak,1000,35.0,12,4,0.3333333333333333
am_peak,1000,40.0,12,2,0.16666666666666666
am_peak,1000,45.0,12,2,0.16666666666666666
am_peak,1000,50.0,12,3,0.25
am_peak,1000,55.0,12,4,0.3333333333333333
am_peak,1000,60.0,12,1,0.08333333333333333
am_peak,1000,65.0,12,5,0.4166666666666667
am_peak,1000,70.0,12,3,0.25
am_peak,1000,75.0,12,4,0.3333333333333333
am_peak,1000,80.0,12,2,0.16666666666666666
am_peak,1000,85.0,12,3,0.25
am_peak,1000,90.0,12,2,0.16666666666666666
am_peak,1000,95.0,12,4,0.3333333333333333
am_peak,1000,100.0,12,3,0.25
am_peak,1000,105.0,12,2,0.16666666666666666
am_peak,1000,110.0,12,2,0.16666666666666666
am_peak,1000,115.0,12,4,0.3333333333333333
am_peak,1000,120.0,12,5,0.4166666666666667
am_peak,1000,125.0,12,4,0.3333333333333333
am_peak,1000,130.0,12,4,0.3333333333333333
am_peak,1000,135.0,12,2,0.16666666666666666
am_peak,1000,140.0,12,4,0.3333333333333333
am_peak,1000,145.0,12,5,0.4166666666666667
am_peak,1000,150.0,12,2,0.16666666666666666
am_peak,1000,155.0,12,2,0.16666666666666666
am_peak,1000,160.0,12,1,0.08333333333333333
am_peak,1000,165.0,12,1,0.08333333333333333
am_peak,1000,170.0,12,5,0.4166666666666667
am_peak,1000,175.0,12,3,0.25
am_peak,1000,180.0,12,4,0.3333333333333333
am_peak,1000,185.0,12,3,0.25
am_peak,1000,190.0,12,3,0.25
am_peak,1000,195.0,12,4,0.3333333333333333
am_peak,1000,200.0,12,2,0.16666666666666666
am_peak,1000,205.0,12,3,0.25
am_peak,1000,210.0,12,3,0.25
am_peak,1000,215.0,12,2,0.16666666666666666
am_peak,1000,220.0,12,4,0.3333333333333333
am_peak,1000,225.0,12,4,0.3333333333333333
am_peak,1000,230.0,12,4,0.3333333333333333
am_peak,1000,235.0,12,0,0.0
am_peak,1000,240.0,12,3,0.25
am_peak,1000,245.0,12,2,0.16666666666666666
am_peak,1000,250.0,12,4,0.3333333333333333
am_peak,1000,255.0,12,4,0.3333333333333333
am_peak,1000,260.0,12,4,0.3333333333333333
am_peak,1000,265.0,12,4,0.3333333333333333
am_peak,1000,270.0,12,4,0.3333333333333333
am_peak,1000,275.0,12,4,0.3333333333333333
am_peak,1000,280.0,12,1,0.08333333333333333
am_peak,1000,285.0,12,4,0.3333333333333333
am_peak,1000,290.0,12,5,0.4166666666666667
am_peak,1000,295.0,12,4,0.3333333333333333
am_peak,1000,300.0,12,5,0.4166666666666667
am_peak,1000,305.0,12,3,0.25
am_peak,1000,310.0,12,3,0.25
am_peak,1000,315.0,12,3,0.25
am_peak,1000,320.0,12,3,0.25
am_peak,1000,325.0,12,4,0.3333333333333333
am_peak,1000,330.0,12,5,0.4166666666666667
am_peak,1000,335.0,12,1,0.08333333333333333
am_peak,1000,340.0,12,3,0.25
am_peak,1000,345.0,12,4,0.3333333333333333
am_peak,1000,350.0,12,4,0.3333333333333333
am_peak,1000,355.0,12,4,0.3333333333333333
am_peak,1000,360.0,12,4,0.3333333333333333
am_peak,1000,365.0,12,4,0.3333333333333333
am_peak,1000,370.0,12,3,0.25
am_peak,1000,375.0,12,4,0.3333333333333333
am_peak,1000,380.0,12,4,0.3333333333333333
am_peak,1000,385.0,12,2,0.16666666666666666
am_peak,1000,390.0,12,3,0.25
am_peak,1000,395.0,12,4,0.3333333333333333
am_peak,1000,400.0,12,3,0.25
am_peak,1000,405.0,12,2,0.16666666666666666
